position,candidate,party,district
SANGGUNIANG BAYAN,"SALES, AARON",IND,BFT_R5\CAMARINES SUR\CAMALIGAN
SANGGUNIANG BAYAN,"ANTONIO, ROMY",IND,BFT_R5\CAMARINES SUR\CAMALIGAN
SANGGUNIANG BAYAN,"LURCHA, PEDRO JR.",IND,BFT_R5\CAMARINES SUR\CAMALIGAN
SANGGUNIANG BAYAN,"PUNZALAN, RODEL",NUP,BFT_R5\CAMARINES SUR\CAMALIGAN
MAYOR,"LEGASPI, NELSON",NUP,BFT_R5\CAMARINES SUR\CANAMAN
MAYOR,"RAGODON, WILLIAM",IND,BFT_R5\CAMARINES SUR\CANAMAN
VICE-MAYOR,"ABANTE, JOEL JOSEPH",IND,BFT_R5\CAMARINES SUR\CANAMAN
VICE-MAYOR,"ABAROA, TOBY",LAKAS,BFT_R5\CAMARINES SUR\CANAMAN
VICE-MAYOR,"MORALLOS, LEONARDO",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"AFRICA, NESTOR",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"BASMAYOR, ALMA",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"CORPORAL, JONATHAN KEIT",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"OCAMPO, JOSELITA",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"ALBAO, SALVADOR",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"BASMAYOR, LARRY NICO",NPC,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"DE LA TORRE, DANIEL",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"PANES, JIMMY ART",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"ALTARES, CHARLES",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"CANTILLO, CLAIRE",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"DELOS SANTOS, SALVE",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"RAGODON, HENRY",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"AMARO, MENAN",LAKAS,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"CAPSA, AMA",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"ESTA, JAIME JR.",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"REGALADO, JESS",LAKAS,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"BANASTAO, LIBRADO JR.",LAKAS,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"CAUDILLA, DIGNO",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"IBASCO, ARNEL",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"REGULADO, EDGAR",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"BASCO, NADYA",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"CHICA, SABAS",IND,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"NUÑEZ, CHONA",NUP,BFT_R5\CAMARINES SUR\CANAMAN
SANGGUNIANG BAYAN,"VERMUDO, LAURA",IND,BFT_R5\CAMARINES SUR\CANAMAN
HOUSE OF REPRESENTATIVES,"FUENTEBELLA, ARNIE",NPC,BFT_R5\CAMARINES SUR\CARAMOAN
HOUSE OF REPRESENTATIVES,"GUMABAO, MARCO GABRIEL",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG PANLALAWIGAN,"LLAGUNO, AWEL",NPC,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG PANLALAWIGAN,"PANUELOS, BEYONG",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG PANLALAWIGAN,"PILAPIL, JJ",NPC,BFT_R5\CAMARINES SUR\CARAMOAN
MAYOR,"CO, MALYN",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
MAYOR,"CORDIAL, ONYO",KBL,BFT_R5\CAMARINES SUR\CARAMOAN
MAYOR,"RAMIREZ, DYAN",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
VICE-MAYOR,"OBIAS, DON",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
VICE-MAYOR,"TEOXON, LUTHMER-MARIPATI",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"ARCILLA, JOSEPH",IND,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"BORJA, BONG",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"LABIANO, ARION",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"SANCHO, JEP",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"AVENA, JOHANNA",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"BREIS, IRENE",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"LABILLES, JULIE-TEOXON",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"SUENO, EDMUNDO",IND,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"AVILA, TOTEM",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"BREIS, ROY",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"PALAYA, PARAOMA",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"VELASCO, ABOY",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"BELLEZA, BONG",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"CAMACHO, OWAN",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"RUIZ, MAMU",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"VILLARETE, BOBOY",KBL,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"BONITA, ERWIN",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"FERNANDO, TULIOJOJO",PFP,BFT_R5\CAMARINES SUR\CARAMOAN
SANGGUNIANG BAYAN,"SACIL, JOJO",NUP,BFT_R5\CAMARINES SUR\CARAMOAN
MAYOR,"ABARIENTOS, MELANIE",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
MAYOR,"SARMIENTO, PADO",PFP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
VICE-MAYOR,"BARGO, FLORENCE",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
VICE-MAYOR,"VERDEJO, ARNEL",PFP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"ADULTA, OGOR",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"CEDO, EDNA",PFP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"MALINAO, BOBOY",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"SAN JUAN, ONDAT",IND,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"ALBUERO, ROLLY",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"DE GUZMAN, WOWIE",IND,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"MONSERATE, JAMPOL",IND,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"SEDA, ALLAN",PFP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"BUENO, MICHELLE",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"JORVINA, EMMA",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"PANGO, MITA",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"UY, EDDIE-BOY",PFP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"BUGARIN, NIKKI",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"MAGCAWAS, ISIDRO",NUP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"PENDOR, TOTOY",IND,BFT_R5\CAMARINES SUR\DEL_GALLEGO
SANGGUNIANG BAYAN,"VERCELUZ, ANTET",PFP,BFT_R5\CAMARINES SUR\DEL_GALLEGO
HOUSE OF REPRESENTATIVES,"MABULO, FERMIN",NPC,BFT_R5\CAMARINES SUR\GAINZA
HOUSE OF REPRESENTATIVES,"VILLAFUERTE, LUIGI LRV",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG PANLALAWIGAN,"HERNANDEZ, DOC ANGEL",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG PANLALAWIGAN,"NOPRA, BOBOY",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG PANLALAWIGAN,"ORIÑO, JUNO PATRICK",PFP,BFT_R5\CAMARINES SUR\GAINZA
MAYOR,"DELOS SANTOS, ROBERT",IND,BFT_R5\CAMARINES SUR\GAINZA
MAYOR,"FRANCISCO, JUN",PFP,BFT_R5\CAMARINES SUR\GAINZA
MAYOR,"GONTANG, GLENN",NUP,BFT_R5\CAMARINES SUR\GAINZA
VICE-MAYOR,"MARTINEZ, KAP ALET",PFP,BFT_R5\CAMARINES SUR\GAINZA
VICE-MAYOR,"SAN BUENAVENTURA, POL",IND,BFT_R5\CAMARINES SUR\GAINZA
VICE-MAYOR,"TEODORO, JOSE JR.",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"ABILAY, CHING",PFP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"BOLETIC, LANDO",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"PARAISO, DODS",PFP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"SAN PASCUAL, JAYSON",PFP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"AGOR, LEONARDO JR.",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"DELA CRUZ, RAQUEL",PFP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"PEREZ, GEMMA",PFP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"SURBANO, NOEL",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"ALCANTARA, PIPITO JR.",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"FRANCISCO, SALEM",PFP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"PINOTE, VICVIC",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"VALENZUELA, OJ",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"ALPE, TONI",IND,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"MARTINEZ, ISAGANI",NUP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"RECARIO, RUFO JR.",IND,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"ALTARE, JUN-JON",PFP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"OLAÑO, MICO",PFP,BFT_R5\CAMARINES SUR\GAINZA
SANGGUNIANG BAYAN,"SAN BUENAVENTURA, MOISES",NUP,BFT_R5\CAMARINES SUR\GAINZA
MAYOR,"BUEZA, NELSON",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
MAYOR,"SAN LUIS, LEDA",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
VICE-MAYOR,"ARAGDON, CELOY",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
VICE-MAYOR,"CASTOR, RONIE",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"BERUNIO, BENITO EDGARDO",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"DAPILOS, DENNIS",IND,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"LOQUINARIO, JOSEPHINE",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"SAVILLA, APOT",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"BERUNIO, JOSE",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"DIANELA, SIMEON JR.",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"NOBLE, NEIL",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"SIMANDO, NONOY",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"CEA, ADING",IND,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"FRIAS, EDSEL",IND,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"PERMINOFF, MAY NORING",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"TEOXON, RONILO",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"CEPRIOTO, VIRGILIO JR.",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"GUADALUPE, EGIL",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"RACELIS, AYE",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"VALENCIA, DAGUL",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"CLEDERA, BADONG",IND,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"LARA, EDWIN",NUP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"SARMIENTO, DIEGO",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
SANGGUNIANG BAYAN,"VALENCIA, NORMAN",PFP,BFT_R5\CAMARINES SUR\GARCHITORENA
MAYOR,"GONZAGA, PAY PEDONG",PFP,BFT_R5\CAMARINES SUR\GOA
MAYOR,"LIM, RAQUEL",NUP,BFT_R5\CAMARINES SUR\GOA
VICE-MAYOR,"CAMACHO, ALEX",NUP,BFT_R5\CAMARINES SUR\GOA
VICE-MAYOR,"PAN, MARCEL MICHAEL",PFP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"AMANTE, JULIUS",NUP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"CARIÑO, ELY",NUP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"PACAMARRA, WHEL",NUP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"RESPALL, DOC TOLIN",PFP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"ATOLE, GANIT",NUP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"ENCISO, ALBERTO ENRICO",PFP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"PADUA, ATE CRIS",PFP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"RIVERO, ATTY. TANGGOL",NUP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"AVILA, PINKY",PFP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"ESTAMPA, RONNEL",IND,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"PAN, RUBY",PFP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"BELLEZA, STEPHEN",PFP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"GARCHITORENA, JAIME JR.",NUP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"PARES, WINWIN",IND,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"BROQUEZA, ATE HANNA",PFP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"OGMAR, RON",NUP,BFT_R5\CAMARINES SUR\GOA
SANGGUNIANG BAYAN,"PENA, PROTACIO JR.",PFP,BFT_R5\CAMARINES SUR\GOA
MAYOR,"ALFELOR, PEACHY",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
MAYOR,"COSINERO, ROCELYN",IND,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
MAYOR,"OLIVA, REX",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
VICE-MAYOR,"DIMAIWAT, EDSEL",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
VICE-MAYOR,"VARGAS, GIGI",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"ABONITE, DANDREB",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"BORROMEO, RICO",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"LANIOG, MIK-MIK",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"RAMBOYONG, ESPE-RAMBO",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"ABONITE, JESSIE JR.",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"CAAYAO, JOR-EL",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"MAGISTRADO, SOFRONIO SONNY NPC",IND,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"TINO, JEFF",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"AGAO, AMOR MEO",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"FUCIO, FRED",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"MONSALVE, PRINCESS",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"TRINIDAD, ANJO",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"ALFELOR, DOC KOOKIE",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"GRIMALDO, JM",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"MURALLO, DADAY",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"AMOROSO, RICHARD",IND,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"GUEVARA, MAN OF ACTION",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"OLIVA, DANTE",NPC,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"AUDAL, JHUN",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"LAGRIMAS, NIKKI",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
SANGGUNIANG PANLUNGSOD,"OROLFO, BISHOP ROS",NUP,BFT_R5\CAMARINES SUR\CITY_OF_IRIGA
MAYOR,"BONA, BEBOT",NUP,BFT_R5\CAMARINES SUR\LAGONOY
MAYOR,"BONO, BIBOT",IND,BFT_R5\CAMARINES SUR\LAGONOY
MAYOR,"ODIAMAR, BONA BONG",IND,BFT_R5\CAMARINES SUR\LAGONOY
MAYOR,"PILAPIL, DYEGO LUIZ",PFP,BFT_R5\CAMARINES SUR\LAGONOY
VICE-MAYOR,"REMOTO, JERRY JAKE",PFP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"ABANTE, FREDERICK",PFP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"DE HITTA, ESTOY",NUP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"MARTIZANO, OLAN",PFP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"PRESTOSA, AKO SI LON",IND,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"ALFON, JOSE",NUP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"DELEÑA, JORDAN",IND,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"PADAYAO, NOY RIC",NUP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"QUILLOY, ARVIN",IND,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"ALIS-PIANO, MARITES",PFP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"FANTE, ASEL",PFP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"PASA, ATTY. AIRENE",NUP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"ROSERO, RENAN",NUP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"BIGTAS, NOY",NUP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"FAVENIR, SIR BENJO",NUP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"PESIMO, APIN",PFP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"SABOCO, MERCY",PFP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"BUENAFE, DANTE",NUP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"HERNANDEZ, TABA",PFP,BFT_R5\CAMARINES SUR\LAGONOY
SANGGUNIANG BAYAN,"PETEZA, JAMES",PFP,BFT_R5\CAMARINES SUR\LAGONOY
MAYOR,"CAMARA, JESUS",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
MAYOR,"MARFIL, EDELSON",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
VICE-MAYOR,"JAUCIAN, JAMES",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
VICE-MAYOR,"ORIÑO, ARIEL",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"ATIENZA, DONDON",IND,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"DATOON, RICHARD",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"RASONABLE, PIDAY",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"VARGAS, MERWIN",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"ATIENZA, GERYMAR II",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"LLAMADO, JURDAN",IND,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"ROXAS, ALLAN",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"VERA, LOREEN",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"BALITON, ANTONIO JR.",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"MENDOZA, ALEX",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"SAN BUENAVENTURA, KAPDON",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"VILLASEÑOR, CHAREL",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"BULAONG, ROMEL",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"MOPERA, TOTOY",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"TENDERO, JERRY",NUP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"CAÑETE, LUIS",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"OLEA, ALNOR",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
SANGGUNIANG BAYAN,"TRANQUILINO, ANDY",PFP,BFT_R5\CAMARINES SUR\LIBMANAN
MAYOR,"JACINTO, TOPI",NUP,BFT_R5\CAMARINES SUR\LUPI
MAYOR,"MATAMOROSA, GAGAY",PFP,BFT_R5\CAMARINES SUR\LUPI
VICE-MAYOR,"AGRAVANTE, NOEL",NPC,BFT_R5\CAMARINES SUR\LUPI
VICE-MAYOR,"FANDIÑO, JOSIE",NUP,BFT_R5\CAMARINES SUR\LUPI
VICE-MAYOR,"JOVEN, RODEL VICTOR",IND,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"ABERGOS, AMBO",NPC,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"BAYANI, PUTO",NUP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"MARVIDA, KING",NUP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"ROMERO, LEO",NUP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"ACERO, JOSIE",PFP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"DESPACIO, DEMIE",NPC,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"MENDOZA, CRISTY",NUP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"SAROL, LEN-LEN",PFP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"ALAURIN, MALOU",NUP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"DIAMANTE, MARLYN",NUP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"OSABAL, JOVY",IND,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"TIBAYAN, PATURON",NUP,BFT_R5\CAMARINES SUR\LUPI
SANGGUNIANG BAYAN,"BANDAGOZA, JUN",NPC,BFT_R5\CAMARINES SUR\LUPI
